"brand","screen_tech","screensize","energy_consumpt","star2","count"
"telefunken","LCD (LED)","32.0",131,5,1
"telefunken","LCD (LED)","55.0",379,4.5,1
"thomson","LCD (LED)","40.0",184,5,1
"thomson","LCD (LED)","42.0",194,5.5,1
"thomson","LCD (LED)","43.0",175.33333333333334,5.666666666666667,3
"toshiba","LCD (LED)","100.0",1070,5,1
"toshiba","LCD (LED)","32.0",97,6,1
"toshiba","LCD (LED)","43.0",215.2,5.1,5
"toshiba","LCD (LED)","50.0",268,5.125,4
"toshiba","LCD (LED)","55.0",349.75,4.937500000000001,8
"toshiba","LCD (LED)","64.0",369,6,1
"toshiba","LCD (LED)","65.0",466.14285714285717,4.928571428571429,7
"toshiba","LCD (LED)","75.0",562.2857142857142,5.428571428571428,7
"toshiba","LCD (LED)","85.0",847.6666666666666,4.666666666666667,3
"vdt","LCD (LED)","22.0",78,4.5,1
"veon","LCD (LED)","40.0",175,5,1
"veon","LCD (LED)","58.0",450,4,1
"viano","LCD (LED)","24.0",76,5.5,1
"viano","LCD (LED)","49.0",352,4,1
"walton","LCD (LED)","32.0",115,5.5,7
"walton","LCD (LED)","40.0",135,6,7
"walton","LCD (LED)","43.0",138.60000000000002,7,10
"yokohama","LCD","24.0",92,4.5,1
"yokohama","LCD (LED)","24.0",76,5.5,1
"yokohama","LCD","55.0",278,5.5,1
"yokohama","LCD","65.0",542,4,1
